UserID,Password,Role
P1236,pass123,Player
T0001,admin,TournamentStaff
P2345,pass234,Player
T6789,pass567,TournamentStaff
P1238,pass345,Player
T7890,pass678,TournamentStaff
P4567,pass456,Player
T8901,pass789,TournamentStaff
P5678,pass567,Player
T9012,pass890,TournamentStaff
P1234,password,Player
P1235,password,Player
P1236,password,Player
P1237,password,Player
P1238,password,Player
P1239,password,Player
P1240,password,Player
P1241,password,Player
P1242,password,Player
P1243,password,Player
P1244,password,Player
P1245,password,Player
P1246,password,Player
P1247,password,Player
P1248,password,Player
P1249,password,Player
P1250,password,Player
P1251,password,Player
P1252,password,Player
P1253,password,Player
